"75.W_SIC.M0","75.W_SIC.M1","75.W_SIC.M2","75.W_SST.M0","75.W_SST.M1","75.W_SST.M2","300.W_SIC.M0","300.W_SIC.M1","300.W_SIC.M2","300.W_SST.M0","300.W_SST.M1","300.W_SST.M2","DATE"
0.0891,NA,NA,5.0718,NA,NA,0.0441,NA,NA,3.9919,NA,NA,1981-09-01
0.0777,0.0891,NA,4.8377,5.0718,NA,0.0459,0.0441,NA,3.8308,3.9919,NA,1981-09-02
0.0555,0.0777,0.0891,4.7548,4.8377,5.0718,0.0376,0.0459,0.0441,3.8514,3.8308,3.9919,1981-09-03
0.0701,0.0555,0.0777,5.1456,4.7548,4.8377,0.0451,0.0376,0.0459,3.8987,3.8514,3.8308,1981-09-04
0.0702,0.0701,0.0555,4.8961,5.1456,4.7548,0.0431,0.0451,0.0376,3.7655,3.8987,3.8514,1981-09-05
0.0459,0.0702,0.0701,4.4946,4.8961,5.1456,0.0315,0.0431,0.0451,3.5317,3.7655,3.8987,1981-09-06
0.059,0.0459,0.0702,4.3931,4.4946,4.8961,0.0342,0.0315,0.0431,3.4603,3.5317,3.7655,1981-09-07
0.0565,0.059,0.0459,4.4442,4.3931,4.4946,0.0307,0.0342,0.0315,3.5323,3.4603,3.5317,1981-09-08
0.0695,0.0565,0.059,4.3006,4.4442,4.3931,0.0329,0.0307,0.0342,3.5654,3.5323,3.4603,1981-09-09
0.0895,0.0695,0.0565,4.0995,4.3006,4.4442,0.0382,0.0329,0.0307,3.4897,3.5654,3.5323,1981-09-10
0.0773,0.0895,0.0695,4.7923,4.0995,4.3006,0.0365,0.0382,0.0329,3.8962,3.4897,3.5654,1981-09-11
0.091,0.0773,0.0895,5.0047,4.7923,4.0995,0.0373,0.0365,0.0382,3.8926,3.8962,3.4897,1981-09-12
0.0874,0.091,0.0773,4.8709,5.0047,4.7923,0.0377,0.0373,0.0365,3.806,3.8926,3.8962,1981-09-13
0.0857,0.0874,0.091,4.823,4.8709,5.0047,0.0357,0.0377,0.0373,3.8316,3.806,3.8926,1981-09-14
