"75.W_SIC.M0","75.W_SIC.M1","75.W_SIC.M2","75.W_SST.M0","75.W_SST.M1","75.W_SST.M2","300.W_SIC.M0","300.W_SIC.M1","300.W_SIC.M2","300.W_SST.M0","300.W_SST.M1","300.W_SST.M2","DATE"
0,NA,NA,3.7526,NA,NA,0.0035,NA,NA,6.4228,NA,NA,1981-09-01
0,0,NA,3.7866,3.7526,NA,0.005,0.0035,NA,6.537,6.4228,NA,1981-09-02
0,0,0,4.108,3.7866,3.7526,0.0049,0.005,0.0035,6.6261,6.537,6.4228,1981-09-03
0,0,0,4.4016,4.108,3.7866,0.0061,0.0049,0.005,6.7226,6.6261,6.537,1981-09-04
0,0,0,4.2092,4.4016,4.108,0.0047,0.0061,0.0049,6.5175,6.7226,6.6261,1981-09-05
0,0,0,3.6033,4.2092,4.4016,0.0034,0.0047,0.0061,6.4736,6.5175,6.7226,1981-09-06
0,0,0,3.81,3.6033,4.2092,0.0035,0.0034,0.0047,6.5249,6.4736,6.5175,1981-09-07
0,0,0,3.9883,3.81,3.6033,0.0034,0.0035,0.0034,6.5298,6.5249,6.4736,1981-09-08
0,0,0,4.0679,3.9883,3.81,0.0042,0.0034,0.0035,6.564,6.5298,6.5249,1981-09-09
0,0,0,4.4053,4.0679,3.9883,0.0038,0.0042,0.0034,6.6934,6.564,6.5298,1981-09-10
0,0,0,3.9279,4.4053,4.0679,0.0043,0.0038,0.0042,6.8054,6.6934,6.564,1981-09-11
0,0,0,3.5259,3.9279,4.4053,0.0054,0.0043,0.0038,6.6433,6.8054,6.6934,1981-09-12
0,0,0,2.5706,3.5259,3.9279,0.0049,0.0054,0.0043,6.1607,6.6433,6.8054,1981-09-13
0,0,0,2.0942,2.5706,3.5259,0.0054,0.0049,0.0054,6.0463,6.1607,6.6433,1981-09-14
0,0,0,2.292,2.0942,2.5706,0.0069,0.0054,0.0049,6.2214,6.0463,6.1607,1981-09-15
0,0,0,2.0203,2.292,2.0942,0.0064,0.0069,0.0054,6.2754,6.2214,6.0463,1981-09-16
0,0,0,2.584,2.0203,2.292,0.0048,0.0064,0.0069,6.2535,6.2754,6.2214,1981-09-17
0,0,0,3.7077,2.584,2.0203,0.0043,0.0048,0.0064,6.4972,6.2535,6.2754,1981-09-18
0,0,0,3.3578,3.7077,2.584,0.0046,0.0043,0.0048,6.2634,6.4972,6.2535,1981-09-19
0,0,0,3.4479,3.3578,3.7077,0.0048,0.0046,0.0043,6.226,6.2634,6.4972,1981-09-20
0,0,0,3.5904,3.4479,3.3578,0.005,0.0048,0.0046,6.1358,6.226,6.2634,1981-09-21
0,0,0,3.3685,3.5904,3.4479,0.0032,0.005,0.0048,5.6581,6.1358,6.226,1981-09-22
0,0,0,3.0901,3.3685,3.5904,0.002,0.0032,0.005,5.9272,5.6581,6.1358,1981-09-23
0,0,0,2.5717,3.0901,3.3685,0.0034,0.002,0.0032,6.0294,5.9272,5.6581,1981-09-24
0,0,0,2.638,2.5717,3.0901,0,0.0034,0.002,6.0536,6.0294,5.9272,1981-09-25
0,0,0,2.6134,2.638,2.5717,0.0021,0,0.0034,6.0381,6.0536,6.0294,1981-09-26
0,0,0,2.8224,2.6134,2.638,0.0038,0.0021,0,6.0915,6.0381,6.0536,1981-09-27
0,0,0,2.7648,2.8224,2.6134,0.0024,0.0038,0.0021,6.0718,6.0915,6.0381,1981-09-28
0,0,0,2.737,2.7648,2.8224,0.0025,0.0024,0.0038,5.9664,6.0718,6.0915,1981-09-29
0,0,0,2.181,2.737,2.7648,0.0034,0.0025,0.0024,5.7555,5.9664,6.0718,1981-09-30
7e-04,0,0,1.6091,2.181,2.737,0.0029,0.0034,0.0025,5.5427,5.7555,5.9664,1981-10-01
0.002,7e-04,0,2.1482,1.6091,2.181,0.0036,0.0029,0.0034,5.5211,5.5427,5.7555,1981-10-02
0.0067,0.002,7e-04,1.906,2.1482,1.6091,0.0024,0.0036,0.0029,5.2536,5.5211,5.5427,1981-10-03
